 1012 Version 10.0.2 STANDARDS TEXT MUST BE 60 CHARS OR LESS. S ref line number, s source line, number of entries
    1 00 1    0    1 S Procedure name reused.                                      CAST 5.1.1 CMSE 1.1.1 DERA 21 FSB582-C 3.5.5 GJB 4.1.1.1 GJB_5369 4.1.1.1 GJB_8114 R-1-13-3 MISRA-AC 5.2,5.7 MISRA-C:1998 21 MISRA-C:2004 5.2,5.7 MISRA-C:2012(Ed 3 Rev 1) R.5.8,R.5.9 MISRA-C:2012(Ed 3) R.5.8,R.5.9 MISRA-C:2012/AMD1 R.5.8,R.5.9 MISRA-C:2012/AMD1/TC1 R.5.8,R.5.9 MISRA-C:2012/AMD2 R.5.8,R.5.9 MISRA-C:2012/TC1 R.5.8,R.5.9 SEC-Cv1 M1.7.1 SEC-Cv2 M1.7.1 SEC-Cv3 M1.7.1
    2 00 1    0    2 S Label name reused.                                          CAST 5.1.2 CMSE 1.1.2 DERA 12 GJB 4.1.1.2 GJB_5369 4.1.1.2 MISRA-AC 5.7 MISRA-C:1998 12 MISRA-C:2004 5.7 NUREG_CR-6463 1.2.15
    3 00 1 2000    3 S More than *** executable reformatted lines in file.         CMSE 2.2.1 CWE-3.4 1080 EADS-C 4 GJB 4.2.2.1 GJB_5369 4.2.2.1 GJB_8114 A-1-2-1 NUREG_CR-6463 4.1.4
    4 00 1  200    4 S Procedure exceeds *** reformatted lines.                    CAST 5.2.7 CMSE 2.2.2 FSB582-C 2.4.1 GJB 4.2.2.2 GJB_5369 4.2.2.2 GJB_8114 A-1-2-2
    5 00 1    0    5 S Empty then clause.                                          CAST 5.3.1 CERT-C:2008 MSC03-C CMSE 3.1.1 CWE-2.11 398 CWE-3.4 1071 DERA 141 FSB582-C 3.9.1.1 GJB 4.3.1.1 GJB_5369 4.3.1.1 GJB_8114 R-1-4-2 SEC-Cv1 M1.9.1 SEC-Cv2 M1.9.1 SEC-Cv3 M1.9.1
    6 00 1    0    6 S Procedure pointer declared.                                 CAST 5.4.3 CMSE 4.1.3 GJB 4.4.1.3 GJB_5369 4.4.1.3 GJB_8114 A-1-3-1 JPL 9 NUREG_CR-6463 1.2.3
    7 00 1    0    7 S Jump out of procedure.                                      CAST 5.5.1 CERT-C:2014 ENV32-C CERT-C:2016 ENV32-C CMSE 5.1.1 CWE-3.4 1075 GJB 4.5.1.1 GJB_5369 4.5.1.1
    8 00 1    0    8 S Empty else clause.                                          CAST 5.3.2 CMSE 3.1.3 FSB582-C 3.9.1.1 GJB 4.3.1.3 GJB_5369 4.3.1.3 SEC-Cv1 M1.9.1 SEC-Cv2 M1.9.1 SEC-Cv3 M1.9.1
    9 00 1    0    9 S Assignment operation in expression.                         CERT-C:2008 EXP30-C,EXP31-C,FIO41-C,PRE31-C CERT-C:2014 EXP30-C,FIO41-C,PRE31-C CERT-C:2016 EXP30-C,FIO41-C,PRE31-C CMSE 6.1.1 DERA 33,35,40,46 EADS-C 166,167 FSB582-C 3.10.1,3.10.2 GJB 4.6.1.1 GJB_5369 4.6.1.1 MISRA-AC 12.2 MISRA-C:1998 33,35,40,46 MISRA-C:2004 12.2 MISRA-C:2012(Ed 3 Rev 1) R.13.1,R.13.2,R.13.4 MISRA-C:2012(Ed 3) R.13.1,R.13.2,R.13.4 MISRA-C:2012/AMD1 R.13.1,R.13.2,R.13.4 MISRA-C:2012/AMD1/TC1 R.13.1,R.13.2,R.13.4 MISRA-C:2012/AMD2 R.13.1,R.13.2,R.13.4 MISRA-C:2012/TC1 R.13.1,R.13.2,R.13.4 NUREG_CR-6463 1.2.5.8,1.2.8.2,4.2.2.3 SEC-Cv1 M3.2.2,R3.6.1,R3.6.2 SEC-Cv2 M3.2.2,R3.6.1,R3.6.2 SEC-Cv3 M3.2.2,R3.6.1,R3.6.2
   10 00 0    0   10 S Not used for 'c'.
   11 00 1    0   11 S No brackets to loop body (added by Testbed).                BARR-C:2013 1.3.a BARR-C:2018 1.3.a CAST 5.2.1,5.2.2 CERT-C:2014 EXP15-C,EXP19-C CERT-C:2016 EXP15-C,EXP19-C CMSE 2.1.2 CWE-2.11 483 CWE-3.4 483 DERA 59 EADS-C 145,165,166,167 GJB 4.2.1.1,4.2.1.2 GJB_5369 4.2.1.2 GJB_8114 R-1-2-1 MISRA-AC 14.8 MISRA-C:1998 59 MISRA-C:2004 14.8 MISRA-C:2012(Ed 3 Rev 1) R.15.6 MISRA-C:2012(Ed 3) R.15.6 MISRA-C:2012/AMD1 R.15.6 MISRA-C:2012/AMD1/TC1 R.15.6 MISRA-C:2012/AMD2 R.15.6 MISRA-C:2012/TC1 R.15.6 SEC-Cv1 M2.1.2 SEC-Cv2 M2.1.2 SEC-Cv3 M2.1.2
